"id";"day";"end_time";"start_time";"schedule_id"
2;1;2100;1030;2
12;2;2100;1030;2
22;3;2100;1030;2
32;4;2100;1030;2
42;5;2000;1030;2
52;1;2000;900;12
62;2;2000;900;12
72;3;2000;900;12
82;4;2000;900;12
92;5;2000;800;12
102;6;2000;800;12
112;7;2000;1000;12
122;1;1500;1100;22
132;2;1500;1100;22
142;3;1500;1100;22
152;4;1500;1100;22
162;5;1500;1100;22
172;1;2100;1030;32
182;2;2100;1030;32
192;3;2100;1030;32
202;4;2100;1030;32
212;5;2100;1030;32
222;6;2100;1030;32
232;7;2100;1030;32
242;1;2100;1030;42
252;2;2100;1030;42
262;3;2100;1030;42
272;4;2100;1030;42
282;5;2100;1030;42
292;6;2100;1030;42
302;7;2100;1030;42
312;1;2000;1030;52
322;2;2000;1030;52
332;3;2000;1030;52
342;4;2000;1030;52
352;5;2000;1030;52
362;6;2000;1100;52
372;7;2000;1100;52
382;1;2000;1100;62
392;2;2000;1100;62
402;3;2000;1100;62
412;4;2000;1100;62
422;5;2000;1100;62
432;6;2000;1100;62
442;7;2000;1100;62
452;1;2030;1030;72
462;2;2030;1030;72
472;3;2030;1030;72
482;4;2030;1030;72
492;5;2030;1030;72
502;6;2030;1030;72
512;7;2030;1030;72
522;6;0;0;2
532;7;0;0;2
542;6;0;0;22
552;7;0;0;22
9022;2;0;0;1452
9032;4;0;0;1452
9042;1;0;0;1452
9052;3;0;0;1452
9062;5;0;0;1452
9072;6;0;0;1452
9082;7;0;0;1452
9922;6;0;0;1622
9912;4;1530;1000;1622
9902;1;1530;1000;1622
9892;3;1530;1000;1622
9882;5;1530;1000;1622
9872;2;1530;1000;1622
9862;7;0;0;1622
10202;7;0;0;1682
10192;4;1430;1030;1682
10182;1;1430;1030;1682
10172;2;1430;1030;1682
10162;3;1430;1030;1682
10152;6;0;0;1682
10142;5;1430;1030;1682
10482;7;0;0;1722
10472;5;0;0;1722
10462;6;0;0;1722
10452;4;0;0;1722
10442;3;0;0;1722
10432;2;0;0;1722
10422;1;1430;1030;1722
10552;7;0;0;1732
10542;5;1430;1030;1732
10532;6;0;0;1732
10522;4;1430;1030;1732
10512;3;1430;1030;1732
10502;1;1430;1030;1732
10492;2;1430;1030;1732
10972;7;0;0;1792
10962;5;0;0;1792
10952;4;0;0;1792
10942;6;0;0;1792
10932;3;1430;1030;1792
10922;2;0;0;1792
10912;1;0;0;1792
10902;7;0;0;1782
10892;2;1430;1030;1782
10882;6;0;0;1782
10872;1;0;0;1782
10862;4;0;0;1782
10852;5;0;0;1782
10842;3;0;0;1782
10832;7;0;0;1772
10822;6;0;0;1772
10812;5;0;0;1772
10802;4;1430;1030;1772
10792;3;0;0;1772
10782;2;0;0;1772
10772;1;0;0;1772
10982;4;0;0;1802
10992;5;0;0;1802
11002;2;0;0;1802
11012;1;0;0;1802
11022;3;1430;1030;1802
11032;6;0;0;1802
11042;7;0;0;1802
11052;1;1430;1030;1812
11062;2;1430;1030;1812
11072;6;0;0;1812
11082;3;1430;1030;1812
11092;5;0;0;1812
11102;7;0;0;1812
11112;4;0;0;1812
11122;2;0;0;1822
11132;3;0;0;1822
11142;1;1400;1100;1822
11152;6;0;0;1822
11162;5;0;0;1822
11172;4;0;0;1822
11182;7;0;0;1822
11192;5;0;0;1832
11202;3;0;0;1832
11212;1;1400;1100;1832
11222;2;0;0;1832
11232;4;0;0;1832
11242;7;0;0;1832
11252;6;0;0;1832
11262;2;0;0;1842
11272;1;1330;1100;1842
11282;4;0;0;1842
11292;3;0;0;1842
11302;6;0;0;1842
11312;5;0;0;1842
11322;1;0;0;1852
11332;7;0;0;1842
11342;2;2000;1400;1852
11352;4;0;0;1852
11362;3;0;0;1852
11372;5;0;0;1852
11382;6;0;0;1852
11392;2;1330;1100;1862
11402;1;0;0;1862
11412;7;0;0;1862
11422;4;0;0;1862
11432;5;0;0;1862
11442;7;0;0;1852
11452;3;0;0;1862
11462;6;0;0;1862
11472;3;0;0;1872
11482;4;0;0;1872
11492;1;0;0;1872
11502;2;1430;1100;1872
11512;5;0;0;1872
11522;7;0;0;1872
11532;1;0;0;1882
11542;6;0;0;1872
11552;2;1330;1100;1882
11562;3;0;0;1882
11572;5;0;0;1882
11582;6;0;0;1882
11592;1;0;0;1892
11602;4;0;0;1882
11612;7;0;0;1882
11622;2;0;0;1892
11632;4;0;0;1892
11642;3;1400;1100;1892
11652;5;0;0;1892
11662;6;0;0;1892
11672;1;0;0;1902
11682;7;0;0;1892
11692;2;0;0;1902
11702;3;0;0;1902
11712;7;0;0;1902
11722;4;1330;1100;1902
11732;5;0;0;1902
11742;6;0;0;1902
11752;3;1330;1100;1912
11762;4;0;0;1912
11772;2;0;0;1912
11782;6;0;0;1912
11792;1;0;0;1912
11802;7;0;0;1912
11812;5;0;0;1912
11822;1;0;0;1922
11832;2;0;0;1922
11842;5;0;0;1922
11852;3;1330;1100;1922
11862;4;0;0;1922
11872;7;0;0;1922
11882;6;0;0;1922
11892;1;0;0;1932
11902;4;0;0;1932
11912;2;0;0;1932
11922;3;1400;1100;1932
11932;6;0;0;1932
11942;5;0;0;1932
11952;7;0;0;1932
11962;5;0;0;1942
11972;1;0;0;1942
11982;2;0;0;1942
11992;4;1330;1100;1942
12002;3;0;0;1942
12012;6;0;0;1942
12022;7;0;0;1942
12032;1;0;0;1952
12042;5;0;0;1952
12052;3;0;0;1952
12062;2;0;0;1952
12072;4;1400;1100;1952
12082;1;0;0;1962
12092;7;0;0;1952
12102;2;0;0;1962
12112;6;0;0;1952
12122;4;1330;1100;1962
12132;3;0;0;1962
12142;6;0;0;1962
12152;7;0;0;1962
12162;5;0;0;1962
12172;1;0;0;1982
